#;meas;ticks;xH;yH;zH;xL;yL;zL;magni;temp;vibr;
#;anal;ticks;fsm_sensorpack;xMean;yMean;zMean;vibrMean;tempMean;
>;tris;430430;10053.201655;0.095852;1.455595;20.908654;0.001813;0.022109;587
>;tris;432933;10056.713892;0.097803;1.455266;20.401555;0.001636;0.020637;587
>;tris;435435;10064.707711;0.096276;1.419818;21.251939;0.002771;0.041793;587
>;tris;437938;10060.085721;0.095342;1.405178;18.321387;0.002733;0.041936;586
>;tris;440440;10059.790616;0.097101;1.429415;15.018809;0.002917;0.041269;586
>;tris;442943;10050.111318;0.095085;1.389545;18.008230;0.003198;0.058844;586
>;tris;445445;10047.225511;0.094217;1.384755;16.761179;0.002241;0.052364;586
>;tris;447948;10050.213828;0.095008;1.415231;15.756060;0.002405;0.025791;586
>;tris;450450;10046.880064;0.090364;1.308828;11.253900;0.004638;0.107354;586
>;tris;452953;10046.294639;0.086344;1.213209;12.207307;0.002386;0.068504;586
>;tris;455455;10041.428786;0.087126;1.236125;12.782100;0.002095;0.072455;586
>;tris;457958;10043.411531;0.088408;1.297192;11.093160;0.001244;0.069032;585
>;tris;460460;10044.229107;0.089587;1.347981;8.360055;0.001390;0.055102;585
>;tris;462963;10087.946786;0.124863;1.603332;408.597667;0.065389;0.370067;586
>;tris;465465;10120.460276;0.116726;1.977019;409.062133;0.070281;0.344117;585
>;tris;467968;10102.114931;0.072600;2.150014;60.254559;0.006087;0.078116;585
>;tris;470470;10082.216879;0.071070;2.131279;15.010215;0.001031;0.028728;585
>;anal;472902;0;-386;530;10051;272;585
>;tris;472973;10077.530997;0.070794;2.134239;10.970433;0.001313;0.018195;585
>;anal;475443;2;-419;577;10082;269;585
>;tris;475475;10080.279504;0.071254;2.152748;10.648443;0.004474;0.040438;585
>;tris;477978;10077.144405;0.072231;2.181966;11.610327;0.005777;0.053116;585
>;tris;480480;10075.003391;0.072563;2.185542;10.366178;0.003757;0.037538;585
>;anal;482974;0;-421;610;10047;271;584
>;tris;482983;10069.830003;0.072707;2.179225;8.011088;0.001052;0.012773;584
>;tris;485485;10067.408621;0.073262;2.178938;5.841185;0.000775;0.011512;584
>;tris;487988;10069.814976;0.073291;2.166232;6.726530;0.000631;0.007948;584
